Step,Average Reward
0,24.05
500,19.85
1000,17.7
1500,22.75
2000,18.0
2500,18.7
3000,22.7
3500,23.1
4000,25.55
4500,18.25
5000,20.15
5500,18.5
6000,9.05
6500,13.4
7000,48.4
7500,48.25
8000,51.55
8500,69.6
9000,72.4
9500,117.6
10000,150.15
10500,193.7
11000,225.45
11500,197.1
12000,152.45
12500,175.0
13000,234.3
13500,193.35
14000,191.5
14500,167.9
15000,134.3
15500,118.3
16000,77.6
16500,130.45
17000,142.85
17500,95.7
18000,113.8
18500,101.2
19000,80.95
19500,85.85
20000,128.0
20500,105.55
21000,102.9
21500,194.3
22000,127.5
22500,86.45
23000,100.1
23500,160.1
24000,147.7
24500,80.65
25000,391.9
25500,430.2
26000,477.1
26500,476.15
27000,500.0
27500,500.0
28000,500.0
28500,500.0
29000,476.6
29500,500.0
30000,500.0
30500,500.0
31000,500.0
31500,500.0
32000,500.0
32500,460.2
33000,500.0
33500,500.0
34000,196.1
34500,500.0
35000,500.0
35500,54.6
36000,500.0
36500,500.0
37000,500.0
37500,500.0
38000,500.0
38500,500.0
39000,392.55
39500,500.0
40000,500.0
40500,500.0
41000,500.0
41500,500.0
42000,500.0
42500,500.0
43000,500.0
43500,59.65
44000,500.0
44500,500.0
45000,277.9
45500,478.6
46000,500.0
46500,500.0
47000,500.0
47500,500.0
48000,500.0
48500,500.0
49000,500.0
49500,500.0
50000,500.0
50500,500.0
51000,500.0
51500,500.0
52000,500.0
52500,500.0
53000,500.0
53500,500.0
54000,500.0
54500,500.0
55000,500.0
55500,500.0
56000,500.0
56500,500.0
57000,500.0
57500,500.0
58000,500.0
58500,500.0
59000,500.0
59500,500.0
60000,500.0
60500,500.0
61000,500.0
61500,500.0
62000,500.0
62500,500.0
63000,500.0
63500,500.0
64000,499.0
64500,500.0
65000,500.0
65500,500.0
66000,500.0
66500,500.0
67000,500.0
67500,500.0
68000,500.0
68500,478.5
69000,50.55
69500,52.6
70000,49.4
70500,135.4
71000,77.3
71500,500.0
72000,500.0
72500,281.0
73000,414.7
73500,500.0
74000,500.0
74500,500.0
75000,500.0
75500,500.0
76000,500.0
76500,500.0
77000,500.0
77500,500.0
78000,500.0
78500,500.0
79000,500.0
79500,500.0
80000,500.0
80500,500.0
81000,500.0
81500,500.0
82000,500.0
82500,500.0
83000,500.0
83500,500.0
84000,500.0
84500,500.0
85000,500.0
85500,500.0
86000,500.0
86500,500.0
87000,500.0
87500,500.0
88000,500.0
88500,500.0
89000,500.0
89500,500.0
90000,500.0
90500,500.0
91000,500.0
91500,500.0
92000,500.0
92500,500.0
93000,344.6
93500,500.0
94000,500.0
94500,500.0
95000,500.0
95500,500.0
96000,500.0
96500,500.0
97000,500.0
97500,500.0
98000,500.0
98500,500.0
99000,500.0
99500,500.0
