Step,Average Reward
0,17.9
500,19.5
1000,25.9
1500,23.4
2000,19.4
2500,21.2
3000,19.7
3500,29.6
4000,25.4
4500,18.1
5000,16.8
5500,24.5
6000,24.5
6500,27.5
7000,22.5
7500,20.0
8000,22.3
8500,27.6
9000,21.6
9500,20.5
10000,21.4
10500,13.4
11000,68.2
11500,63.8
12000,81.8
12500,113.2
13000,143.7
13500,217.4
14000,155.5
14500,140.0
15000,145.8
15500,160.4
16000,156.8
16500,155.2
17000,145.5
17500,155.8
18000,157.8
18500,160.1
19000,168.9
19500,173.4
20000,182.2
20500,188.2
21000,187.1
21500,189.1
22000,200.6
22500,233.3
23000,266.2
23500,283.0
24000,303.0
24500,415.7
25000,495.6
25500,500.0
26000,500.0
26500,497.0
27000,500.0
27500,500.0
28000,500.0
28500,500.0
29000,500.0
29500,500.0
30000,500.0
30500,500.0
31000,500.0
31500,500.0
32000,500.0
32500,500.0
33000,500.0
33500,500.0
34000,500.0
34500,500.0
35000,500.0
35500,500.0
36000,500.0
36500,500.0
37000,500.0
37500,500.0
38000,500.0
38500,500.0
39000,500.0
39500,500.0
40000,500.0
40500,500.0
41000,500.0
41500,500.0
42000,500.0
42500,500.0
43000,500.0
43500,500.0
44000,500.0
44500,500.0
45000,500.0
45500,500.0
46000,500.0
46500,500.0
47000,500.0
47500,500.0
48000,500.0
48500,500.0
49000,500.0
49500,500.0
50000,500.0
50500,500.0
51000,499.6
51500,495.8
52000,458.1
52500,484.7
53000,384.7
53500,369.7
54000,335.1
54500,343.9
55000,315.7
55500,334.9
56000,338.0
56500,328.6
57000,302.4
57500,276.0
58000,269.0
58500,338.3
59000,348.2
59500,337.2
60000,374.4
60500,357.2
61000,321.8
61500,348.0
62000,296.2
62500,266.1
63000,234.8
63500,218.9
64000,214.7
64500,230.9
65000,193.7
65500,207.4
66000,227.0
66500,234.5
67000,199.9
67500,206.7
68000,190.5
68500,184.3
69000,174.7
69500,500.0
70000,133.6
70500,135.2
71000,146.9
71500,214.6
72000,177.8
72500,145.5
73000,140.6
73500,129.9
74000,135.6
74500,132.0
75000,130.2
75500,133.0
76000,157.1
76500,174.3
77000,194.2
77500,167.2
78000,161.8
78500,223.0
79000,331.1
79500,304.6
80000,413.1
80500,339.1
81000,366.1
81500,456.7
82000,470.4
82500,476.7
83000,500.0
83500,500.0
84000,500.0
84500,500.0
85000,500.0
85500,479.2
86000,448.7
86500,372.2
87000,408.0
87500,429.5
88000,450.2
88500,500.0
89000,500.0
89500,500.0
90000,500.0
90500,500.0
91000,500.0
91500,500.0
92000,500.0
92500,500.0
93000,500.0
93500,500.0
94000,500.0
94500,500.0
95000,500.0
95500,461.7
96000,280.7
96500,421.3
97000,500.0
97500,500.0
98000,500.0
98500,500.0
99000,500.0
99500,500.0
