Step,Average Reward
0,22.4
500,18.5
1000,22.2
1500,19.7
2000,19.7
2500,30.8
3000,20.9
3500,24.5
4000,21.6
4500,24.2
5000,23.4
5500,19.1
6000,19.7
6500,25.9
7000,21.7
7500,20.7
8000,25.7
8500,23.0
9000,20.3
9500,19.6
10000,19.6
10500,40.6
11000,14.5
11500,10.8
12000,12.5
12500,13.0
13000,35.4
13500,64.2
14000,100.1
14500,69.8
15000,80.2
15500,90.5
16000,62.8
16500,92.2
17000,62.0
17500,70.1
18000,94.3
18500,111.1
19000,144.0
19500,123.8
20000,137.1
20500,96.9
21000,130.8
21500,129.9
22000,128.1
22500,186.5
23000,184.3
23500,255.3
24000,211.7
24500,259.6
25000,287.9
25500,284.8
26000,300.2
26500,351.8
27000,418.7
27500,430.8
28000,427.5
28500,500.0
29000,427.1
29500,397.9
30000,395.5
30500,261.3
31000,191.4
31500,331.2
32000,314.3
32500,318.9
33000,373.9
33500,231.2
34000,236.3
34500,236.7
35000,162.3
35500,221.9
36000,172.3
36500,177.4
37000,279.7
37500,240.1
38000,500.0
38500,500.0
39000,500.0
39500,500.0
40000,499.4
40500,499.7
41000,500.0
41500,500.0
42000,487.3
42500,467.4
43000,500.0
43500,484.1
44000,486.0
44500,500.0
45000,488.0
45500,484.1
46000,500.0
46500,488.2
47000,437.3
47500,446.6
48000,495.0
48500,477.0
49000,500.0
49500,500.0
50000,494.0
50500,444.6
51000,238.8
51500,245.8
52000,191.3
52500,191.9
53000,253.9
53500,228.2
54000,236.4
54500,264.9
55000,445.7
55500,465.8
56000,496.6
56500,440.4
57000,476.5
57500,406.7
58000,443.8
58500,397.9
59000,500.0
59500,478.3
60000,436.4
60500,500.0
61000,500.0
61500,470.3
62000,489.5
62500,482.6
63000,483.6
63500,462.5
64000,500.0
64500,479.7
65000,478.8
65500,457.6
66000,441.0
66500,474.9
67000,460.8
67500,454.4
68000,468.7
68500,491.5
69000,500.0
69500,482.5
70000,474.8
70500,487.4
71000,490.0
71500,487.0
72000,461.9
72500,483.0
73000,483.8
73500,500.0
74000,441.8
74500,479.4
75000,464.7
75500,476.6
76000,450.2
76500,500.0
77000,451.8
77500,431.2
78000,477.9
78500,460.6
79000,500.0
79500,460.9
80000,476.8
80500,412.2
81000,470.9
81500,480.3
82000,466.1
82500,499.0
83000,476.2
83500,488.5
84000,491.3
84500,476.1
85000,500.0
85500,488.5
86000,500.0
86500,500.0
87000,484.2
87500,500.0
88000,500.0
88500,467.4
89000,500.0
89500,481.1
90000,500.0
90500,500.0
91000,500.0
91500,500.0
92000,500.0
92500,500.0
93000,500.0
93500,248.3
94000,206.2
94500,339.8
95000,473.5
95500,450.2
96000,467.5
96500,457.7
97000,500.0
97500,480.8
98000,500.0
98500,500.0
99000,500.0
99500,500.0
