Step,Average Reward
0,-500.0
500,-500.0
1000,-500.0
1500,-500.0
2000,-500.0
2500,-500.0
3000,-500.0
3500,-500.0
4000,-500.0
4500,-500.0
5000,-500.0
5500,-500.0
6000,-500.0
6500,-500.0
7000,-500.0
7500,-500.0
8000,-500.0
8500,-500.0
9000,-500.0
9500,-500.0
10000,-500.0
10500,-500.0
11000,-187.5
11500,-91.1
12000,-92.5
12500,-146.6
13000,-90.3
13500,-84.3
14000,-106.5
14500,-87.5
15000,-87.8
15500,-90.7
16000,-110.5
16500,-97.6
17000,-101.7
17500,-100.0
18000,-127.4
18500,-104.8
19000,-103.6
19500,-94.7
20000,-98.8
20500,-109.3
21000,-126.5
21500,-163.8
22000,-188.6
22500,-153.2
23000,-120.8
23500,-116.8
24000,-122.9
24500,-117.2
25000,-114.1
25500,-116.3
26000,-100.9
26500,-98.4
27000,-112.9
27500,-94.0
28000,-94.3
28500,-103.4
29000,-106.3
29500,-89.7
30000,-90.8
30500,-81.4
31000,-92.4
31500,-119.3
32000,-95.6
32500,-105.4
33000,-83.7
33500,-94.9
34000,-88.3
34500,-100.2
35000,-106.1
35500,-87.0
36000,-87.0
36500,-108.9
37000,-90.7
37500,-88.2
38000,-110.8
38500,-95.8
39000,-96.2
39500,-103.8
40000,-102.6
40500,-102.3
41000,-100.0
41500,-89.7
42000,-98.2
42500,-91.9
43000,-86.3
43500,-91.6
44000,-102.3
44500,-107.9
45000,-91.5
45500,-98.3
46000,-87.2
46500,-82.8
47000,-85.7
47500,-94.7
48000,-84.8
48500,-98.8
49000,-87.0
49500,-81.9
50000,-88.5
50500,-85.3
51000,-92.0
51500,-89.1
52000,-87.6
52500,-105.0
53000,-88.3
53500,-88.4
54000,-114.9
54500,-88.9
55000,-90.5
55500,-88.9
56000,-85.6
56500,-98.0
57000,-92.5
57500,-80.3
58000,-81.9
58500,-83.0
59000,-89.4
59500,-92.7
60000,-87.6
60500,-85.8
61000,-98.7
61500,-100.1
62000,-88.3
62500,-89.4
63000,-91.2
63500,-95.0
64000,-87.3
64500,-108.6
65000,-90.2
65500,-92.9
66000,-86.6
66500,-84.3
67000,-93.9
67500,-91.5
68000,-82.8
68500,-97.2
69000,-90.9
69500,-82.0
70000,-79.9
70500,-88.8
71000,-91.2
71500,-109.0
72000,-87.8
72500,-94.6
73000,-95.3
73500,-90.4
74000,-85.8
74500,-85.6
75000,-84.4
75500,-93.6
76000,-96.0
76500,-84.6
77000,-91.9
77500,-98.6
78000,-86.2
78500,-90.7
79000,-87.3
79500,-84.4
80000,-103.7
80500,-90.1
81000,-92.0
81500,-88.8
82000,-88.2
82500,-101.3
83000,-87.3
83500,-94.6
84000,-87.8
84500,-89.3
85000,-94.1
85500,-95.8
86000,-105.9
86500,-95.5
87000,-90.6
87500,-85.5
88000,-90.5
88500,-86.0
89000,-93.9
89500,-83.5
90000,-95.7
90500,-89.4
91000,-93.7
91500,-93.6
92000,-88.4
92500,-84.6
93000,-89.3
93500,-81.7
94000,-89.4
94500,-96.5
95000,-89.5
95500,-91.2
96000,-93.6
96500,-86.6
97000,-91.9
97500,-99.9
98000,-92.8
98500,-87.2
99000,-105.1
99500,-92.3
