Step,Average Reward
0,-500.0
500,-500.0
1000,-497.1
1500,-487.8
2000,-491.3
2500,-500.0
3000,-500.0
3500,-499.1
4000,-490.2
4500,-500.0
5000,-500.0
5500,-500.0
6000,-497.1
6500,-500.0
7000,-495.1
7500,-491.8
8000,-486.9
8500,-500.0
9000,-496.2
9500,-495.0
10000,-500.0
10500,-500.0
11000,-91.5
11500,-106.3
12000,-108.4
12500,-101.9
13000,-101.9
13500,-96.5
14000,-102.4
14500,-91.5
15000,-86.0
15500,-96.7
16000,-92.7
16500,-121.8
17000,-99.9
17500,-109.5
18000,-116.0
18500,-137.5
19000,-113.3
19500,-109.3
20000,-93.1
20500,-112.7
21000,-88.9
21500,-106.9
22000,-138.7
22500,-104.4
23000,-87.5
23500,-90.2
24000,-87.6
24500,-88.7
25000,-103.2
25500,-91.3
26000,-100.8
26500,-101.0
27000,-96.7
27500,-85.7
28000,-103.3
28500,-110.4
29000,-93.8
29500,-98.3
30000,-88.8
30500,-93.1
31000,-97.2
31500,-83.3
32000,-92.4
32500,-89.5
33000,-97.0
33500,-113.3
34000,-118.4
34500,-93.2
35000,-94.0
35500,-97.3
36000,-90.0
36500,-92.0
37000,-90.8
37500,-91.0
38000,-91.2
38500,-83.7
39000,-78.3
39500,-83.0
40000,-99.0
40500,-97.5
41000,-83.8
41500,-91.9
42000,-105.5
42500,-86.7
43000,-89.0
43500,-104.4
44000,-80.0
44500,-99.9
45000,-95.5
45500,-80.5
46000,-89.3
46500,-84.1
47000,-87.3
47500,-85.4
48000,-113.1
48500,-89.7
49000,-128.3
49500,-90.7
50000,-87.3
50500,-90.7
51000,-95.9
51500,-93.5
52000,-82.0
52500,-88.5
53000,-104.4
53500,-88.3
54000,-90.6
54500,-97.4
55000,-87.0
55500,-88.8
56000,-109.2
56500,-93.5
57000,-82.8
57500,-88.5
58000,-96.2
58500,-92.0
59000,-88.6
59500,-92.0
60000,-81.5
60500,-106.6
61000,-83.9
61500,-91.7
62000,-80.3
62500,-106.1
63000,-89.8
63500,-101.8
64000,-93.3
64500,-94.6
65000,-141.5
65500,-101.4
66000,-81.4
66500,-101.5
67000,-87.7
67500,-103.1
68000,-93.5
68500,-100.1
69000,-89.7
69500,-85.7
70000,-107.8
70500,-98.4
71000,-83.0
71500,-90.3
72000,-107.9
72500,-89.9
73000,-88.3
73500,-94.7
74000,-85.6
74500,-101.6
75000,-88.1
75500,-104.0
76000,-89.5
76500,-93.7
77000,-98.7
77500,-86.8
78000,-95.4
78500,-115.0
79000,-86.3
79500,-103.8
80000,-86.3
80500,-100.1
81000,-86.1
81500,-95.3
82000,-99.2
82500,-90.3
83000,-87.7
83500,-90.4
84000,-91.1
84500,-84.5
85000,-100.6
85500,-94.1
86000,-89.8
86500,-105.6
87000,-90.6
87500,-98.9
88000,-97.8
88500,-89.6
89000,-88.5
89500,-96.8
90000,-96.6
90500,-88.9
91000,-89.4
91500,-83.9
92000,-87.3
92500,-100.1
93000,-85.6
93500,-86.0
94000,-91.1
94500,-77.7
95000,-85.4
95500,-87.1
96000,-94.7
96500,-85.9
97000,-95.0
97500,-91.3
98000,-90.0
98500,-79.0
99000,-90.2
99500,-92.7
