Step,Average Reward
0,-107.41999999999993
1000,-91.71999999999996
2000,-68.66399999999999
3000,-127.95599999999993
4000,-79.61199999999997
5000,-87.86799999999994
6000,-98.99599999999995
7000,-50.0
8000,-113.65999999999993
9000,-82.83999999999995
10000,-68.90399999999997
11000,-105.99999999999986
12000,-77.49999999999994
13000,-60.59999999999998
14000,-109.79999999999988
15000,-109.79999999999988
16000,-97.29999999999987
17000,-121.89999999999986
18000,-84.39999999999995
19000,-79.49999999999989
20000,-117.29999999999988
21000,-51.39999999999985
22000,-173.1999999999998
23000,-114.69999999999986
24000,-58.39999999999983
25000,-72.89999999999989
26000,-91.29999999999986
27000,-28.899999999999853
28000,-50.0
29000,-73.21199999999999
30000,-114.16400000000006
31000,-73.59999999999998
32000,-74.09999999999998
33000,-90.54399999999994
34000,-45.21999999999997
35000,-50.0
36000,-107.29999999999991
37000,-67.79999999999997
38000,-79.23999999999998
39000,-100.54399999999994
40000,-75.03999999999996
41000,-88.89999999999995
42000,-89.15199999999996
43000,-114.1999999999999
44000,-73.96799999999993
45000,-94.89999999999995
46000,-70.09599999999998
47000,-69.16799999999998
48000,-135.81999999999988
49000,-113.35599999999992
50000,-50.7
51000,-127.8759999999999
52000,-110.99999999999991
53000,-87.75199999999992
54000,-145.0839999999999
55000,-121.03199999999993
56000,-130.8399999999999
57000,-46.48399999999997
58000,-106.35599999999991
59000,-47.507999999999946
60000,-92.04799999999994
61000,-137.9679999999999
62000,-78.75999999999995
63000,-101.74799999999996
64000,-72.59999999999998
65000,-94.29999999999995
66000,-138.98399999999987
67000,-79.57199999999993
68000,-91.33599999999997
69000,-100.69999999999999
70000,-146.79999999999987
71000,-131.1479999999999
72000,-126.73199999999989
73000,-120.28799999999993
74000,-134.57599999999985
75000,-97.62799999999993
76000,-94.93199999999995
77000,-110.51999999999991
78000,-126.61999999999992
79000,-74.984
80000,-78.85999999999994
81000,-109.02399999999996
82000,-125.67999999999988
83000,-100.39999999999995
84000,-112.97199999999994
85000,-107.12399999999994
86000,-151.55999999999983
87000,-79.3119999999999
88000,-71.88799999999993
89000,-91.87199999999993
90000,-83.54399999999993
91000,-82.97599999999993
92000,-93.11999999999992
93000,-80.79999999999994
94000,-88.89999999999995
95000,-122.09999999999988
96000,-68.69999999999997
97000,-97.99999999999991
98000,-74.39999999999998
99000,-72.89999999999998
